step 00032/60000 (0.05%) | K: 1 | loss: 6.469898 | L1: 6.469898 | lrm: 0.82 | dt: 1018.95ms | tok/sec: 514,539 | bf16_mfu: 60.11 | epoch: 1 pq: 0 rg: 32 | total time: 0.37m | eta: 1014.6m
step 00033/60000 (0.06%) | K: 1 | loss: 6.407741 | L1: 6.407741 | lrm: 0.85 | dt: 1018.92ms | tok/sec: 514,551 | bf16_mfu: 60.11 | epoch: 1 pq: 0 rg: 32 | total time: 0.39m | eta: 1014.7m
step 00034/60000 (0.06%) | K: 1 | loss: 6.345042 | L1: 6.345042 | lrm: 0.88 | dt: 1019.63ms | tok/sec: 514,194 | bf16_mfu: 60.07 | epoch: 1 pq: 0 rg: 40 | total time: 0.41m | eta: 1014.9m
step 00035/60000 (0.06%) | K: 1 | loss: 6.291125 | L1: 6.291125 | lrm: 0.90 | dt: 1020.07ms | tok/sec: 513,970 | bf16_mfu: 60.04 | epoch: 1 pq: 0 rg: 40 | total time: 0.42m | eta: 1015.0m
step 00036/60000 (0.06%) | K: 1 | loss: 6.244667 | L1: 6.244667 | lrm: 0.93 | dt: 1019.57ms | tok/sec: 514,223 | bf16_mfu: 60.07 | epoch: 1 pq: 0 rg: 40 | total time: 0.44m | eta: 1015.2m
step 00037/60000 (0.06%) | K: 1 | loss: 6.190376 | L1: 6.190376 | lrm: 0.95 | dt: 1019.08ms | tok/sec: 514,472 | bf16_mfu: 60.10 | epoch: 1 pq: 0 rg: 40 | total time: 0.46m | eta: 1015.3m
step 00038/60000 (0.06%) | K: 1 | loss: 6.131475 | L1: 6.131475 | lrm: 0.97 | dt: 1019.81ms | tok/sec: 514,103 | bf16_mfu: 60.06 | epoch: 1 pq: 0 rg: 40 | total time: 0.47m | eta: 1015.4m
step 00039/60000 (0.07%) | K: 1 | loss: 6.089891 | L1: 6.089891 | lrm: 1.00 | dt: 1020.49ms | tok/sec: 513,763 | bf16_mfu: 60.02 | epoch: 1 pq: 0 rg: 40 | total time: 0.49m | eta: 1015.5m
step 00040/60000 (0.07%) | K: 1 | loss: 6.039768 | L1: 6.039768 | lrm: 1.00 | dt: 1020.92ms | tok/sec: 513,542 | bf16_mfu: 59.99 | epoch: 1 pq: 0 rg: 40 | total time: 0.51m | eta: 1015.7m
step 00041/60000 (0.07%) | K: 1 | loss: 6.004510 | L1: 6.004510 | lrm: 1.00 | dt: 1020.05ms | tok/sec: 513,981 | bf16_mfu: 60.04 | epoch: 1 pq: 0 rg: 40 | total time: 0.53m | eta: 1015.8m
step 00042/60000 (0.07%) | K: 1 | loss: 5.957296 | L1: 5.957296 | lrm: 1.00 | dt: 1020.02ms | tok/sec: 513,995 | bf16_mfu: 60.04 | epoch: 1 pq: 0 rg: 48 | total time: 0.54m | eta: 1015.9m
step 00043/60000 (0.07%) | K: 1 | loss: 5.904710 | L1: 5.904710 | lrm: 1.00 | dt: 1020.00ms | tok/sec: 514,005 | bf16_mfu: 60.04 | epoch: 1 pq: 0 rg: 48 | total time: 0.56m | eta: 1016.0m
step 00044/60000 (0.07%) | K: 1 | loss: 5.865276 | L1: 5.865276 | lrm: 1.00 | dt: 1019.24ms | tok/sec: 514,390 | bf16_mfu: 60.09 | epoch: 1 pq: 0 rg: 48 | total time: 0.58m | eta: 1016.0m
step 00045/60000 (0.07%) | K: 1 | loss: 5.821977 | L1: 5.821977 | lrm: 1.00 | dt: 1020.21ms | tok/sec: 513,904 | bf16_mfu: 60.03 | epoch: 1 pq: 0 rg: 48 | total time: 0.59m | eta: 1016.1m
step 00046/60000 (0.08%) | K: 1 | loss: 5.778442 | L1: 5.778442 | lrm: 1.00 | dt: 1020.95ms | tok/sec: 513,527 | bf16_mfu: 59.99 | epoch: 1 pq: 0 rg: 48 | total time: 0.61m | eta: 1016.2m
step 00047/60000 (0.08%) | K: 1 | loss: 5.742662 | L1: 5.742662 | lrm: 1.00 | dt: 1020.55ms | tok/sec: 513,728 | bf16_mfu: 60.01 | epoch: 1 pq: 0 rg: 48 | total time: 0.63m | eta: 1016.3m
step 00048/60000 (0.08%) | K: 1 | loss: 5.700128 | L1: 5.700128 | lrm: 1.00 | dt: 1019.80ms | tok/sec: 514,108 | bf16_mfu: 60.06 | epoch: 1 pq: 0 rg: 48 | total time: 0.64m | eta: 1016.3m
step 00049/60000 (0.08%) | K: 1 | loss: 5.664076 | L1: 5.664076 | lrm: 1.00 | dt: 1021.69ms | tok/sec: 513,158 | bf16_mfu: 59.94 | epoch: 1 pq: 0 rg: 56 | total time: 0.66m | eta: 1016.4m
step 00050/60000 (0.08%) | K: 1 | loss: 5.620977 | L1: 5.620977 | lrm: 1.00 | dt: 1019.92ms | tok/sec: 514,047 | bf16_mfu: 60.05 | epoch: 1 pq: 0 rg: 56 | total time: 0.68m | eta: 1016.5m
step 00051/60000 (0.09%) | K: 1 | loss: 5.584854 | L1: 5.584854 | lrm: 1.00 | dt: 1020.37ms | tok/sec: 513,821 | bf16_mfu: 60.02 | epoch: 1 pq: 0 rg: 56 | total time: 0.70m | eta: 1016.5m
